
Forward Euler Method: 
time:     V1:        V2:     
0.0000000212   0.2764458927   4.4125997466   
0.0000000214   0.2909169748   4.4243477516   
0.0000000216   0.3050986353   4.4358607966   
0.0000000218   0.3189966626   4.4471435806   
0.0000000220   0.3326167294   4.4582007090   
0.0000000222   0.3459643948   4.4690366948   
0.0000000224   0.3590451069   4.4796559609   
0.0000000226   0.3718642048   4.4900628417   
0.0000000228   0.3844269207   4.5002615848   
0.0000000230   0.3967383822   4.5102563530   
0.0000000232   0.4088036146   4.5200512259   
0.0000000234   0.4206275423   4.5296502012   
0.0000000236   0.4322149915   4.5390571970   
0.0000000238   0.4435706916   4.5482760529   
0.0000000240   0.4546992778   4.5573105315   
0.0000000242   0.4656052922   4.5661643205   
0.0000000244   0.4762931864   4.5748410335   
0.0000000246   0.4867673227   4.5833442121   
0.0000000248   0.4970319762   4.5916773268   
0.0000000250   0.5070913367   4.5998437790   
0.0000000252   0.5169495100   4.6078469017   
0.0000000254   0.5266105198   4.6156899614   
0.0000000256   0.5360783094   4.6233761592   
0.0000000258   0.5453567432   4.6309086323   
0.0000000260   0.5544496083   4.6382904548   
0.0000000262   0.5633606161   4.6455246396   
0.0000000264   0.5720934038   4.6526141390   
0.0000000266   0.5806515357   4.6595618463   
0.0000000268   0.5890385050   4.6663705969   
0.0000000270   0.5972577349   4.6730431694   
0.0000000272   0.6053125802   4.6795822865   
0.0000000274   0.6132063286   4.6859906167   
0.0000000276   0.6209422021   4.6922707745   
0.0000000278   0.6285233580   4.6984253222   
0.0000000280   0.6359528909   4.7044567708   
0.0000000282   0.6432338330   4.7103675804   
0.0000000284   0.6503691564   4.7161601619   
0.0000000286   0.6573617733   4.7218368778   
0.0000000288   0.6642145378   4.7274000426   
0.0000000290   0.6709302470   4.7328519245   
0.0000000292   0.6775116421   4.7381947457   
0.0000000294   0.6839614092   4.7434306834   
0.0000000296   0.6902821811   4.7485618709   
0.0000000298   0.6964765374   4.7535903980   
0.0000000300   0.7025470067   4.7585183122   
0.0000000302   0.7084960666   4.7633476193   
0.0000000304   0.7103261452   4.7680802840   
0.0000000306   0.7081196223   4.7727182763   
0.0000000308   0.7019572299   4.7772635317   
0.0000000310   0.6919180853   4.7817179395   
0.0000000312   0.6780797236   4.7860833347   
0.0000000314   0.6645181291   4.7903614981   
0.0000000316   0.6512277665   4.7945541499   
0.0000000318   0.6382032112   4.7986629841   
0.0000000320   0.6254391470   4.8026896660   
0.0000000322   0.6129303640   4.8066358312   
0.0000000324   0.6006717567   4.8105030850   
0.0000000326   0.5886583216   4.8142930020   
0.0000000328   0.5768851552   4.8180071265   
0.0000000330   0.5653474521   4.8216469727   
0.0000000332   0.5540405030   4.8252140250   
0.0000000334   0.5429596930   4.8287097384   
0.0000000336   0.5321004991   4.8321355391   
0.0000000338   0.5214584891   4.8354928250   
0.0000000340   0.5110293193   4.8387829659   
0.0000000342   0.5008087330   4.8420073047   
0.0000000344   0.4907925583   4.8451671571   
0.0000000346   0.4809767071   4.8482638129   
0.0000000348   0.4713571730   4.8512985358   
0.0000000350   0.4619300295   4.8542725644   
0.0000000352   0.4526914289   4.8571871126   
0.0000000354   0.4436376004   4.8600433700   
0.0000000356   0.4347648484   4.8628425022   
0.0000000358   0.4260695514   4.8655856520   
0.0000000360   0.4175481604   4.8682739387   
0.0000000362   0.4091971972   4.8709084598   
0.0000000364   0.4010132532   4.8734902905   
0.0000000366   0.3929929881   4.8760204846   
0.0000000368   0.3851331284   4.8785000748   
0.0000000370   0.3774304658   4.8809300732   
0.0000000372   0.3698818565   4.8833114717   
0.0000000374   0.3624842194   4.8856452422   
0.0000000376   0.3552345350   4.8879323374   
0.0000000378   0.3481298443   4.8901736906   
0.0000000380   0.3411672474   4.8923702167   
0.0000000382   0.3343439024   4.8945228124   
0.0000000384   0.3276570244   4.8966323561   
0.0000000386   0.3211038839   4.8986997090   
0.0000000388   0.3146818062   4.9007257148   
0.0000000390   0.3083881701   4.9027112005   
0.0000000392   0.3022204067   4.9046569765   
0.0000000394   0.2961759986   4.9065638369   
0.0000000396   0.2902524786   4.9084325602   
0.0000000398   0.2844474290   4.9102639090   
0.0000000400   0.2787584804   4.9120586308   
0.0000000402   0.2731833108   4.9138174582   
0.0000000404   0.2717196446   4.9155411090   
0.0000000406   0.2742852517   4.9172302868   
0.0000000408   0.2807995467   4.9188856811   
0.0000000410   0.2911835558   4.9205079675   
0.0000000412   0.3053598846   4.9220978081   
0.0000000414   0.3192526870   4.9236558519   
0.0000000416   0.3328676332   4.9251827349   
0.0000000418   0.3462102806   4.9266790802   
0.0000000420   0.3592860749   4.9281454986   
0.0000000422   0.3721003534   4.9295825885   
0.0000000424   0.3846583464   4.9309909367   
0.0000000426   0.3969651794   4.9323711179   
0.0000000428   0.4090258759   4.9337236955   
0.0000000430   0.4208453583   4.9350492215   
0.0000000432   0.4324284512   4.9363482369   
0.0000000434   0.4437798821   4.9376212719   
0.0000000436   0.4549042845   4.9388688461   
0.0000000438   0.4658061988   4.9400914688   
0.0000000440   0.4764900748   4.9412896388   
0.0000000442   0.4869602733   4.9424638453   
0.0000000444   0.4972210679   4.9436145674   
0.0000000446   0.5072766465   4.9447422747   
0.0000000448   0.5171311136   4.9458474275   
0.0000000450   0.5267884913   4.9469304767   
0.0000000452   0.5362527215   4.9479918642   
0.0000000454   0.5455276671   4.9490320232   
0.0000000456   0.5546171137   4.9500513779   
0.0000000458   0.5635247714   4.9510503441   
0.0000000460   0.5722542760   4.9520293294   
0.0000000462   0.5808091905   4.9529887329   
0.0000000464   0.5891930067   4.9539289457   
0.0000000466   0.5974091466   4.9548503511   
0.0000000468   0.6054609636   4.9557533246   
0.0000000470   0.6133517443   4.9566382338   
0.0000000472   0.6210847095   4.9575054392   
0.0000000474   0.6286630153   4.9583552935   
0.0000000476   0.6360897550   4.9591881424   
0.0000000478   0.6433679599   4.9600043244   
0.0000000480   0.6505006007   4.9608041709   
0.0000000482   0.6574905887   4.9615880062   
0.0000000484   0.6643407769   4.9623561482   
0.0000000486   0.6710539613   4.9631089076   
0.0000000488   0.6776328821   4.9638465886   
0.0000000490   0.6840802245   4.9645694889   
0.0000000492   0.6903986200   4.9652778997   
0.0000000494   0.6965906476   4.9659721055   
0.0000000496   0.7026588346   4.9666523847   
0.0000000498   0.7086056579   4.9673190093   
0.0000000500   0.7144335448   4.9679722451   
0.0000000502   0.7201448739   4.9686123517   
0.0000000504   0.7217419764   4.9692395824   
0.0000000506   0.7193071369   4.9698542459   
0.0000000508   0.7129209941   4.9704566503   
0.0000000510   0.7026625743   4.9710470865   
0.0000000512   0.6886093228   4.9716258171   
0.0000000514   0.6748371363   4.9721930755   
0.0000000516   0.6613403936   4.9727490582   
0.0000000518   0.6481135857   4.9732939685   
0.0000000520   0.6351513140   4.9738280130   
0.0000000522   0.6224482877   4.9743513989   
0.0000000524   0.6099993220   4.9748643327   
0.0000000526   0.5977993355   4.9753670186   
0.0000000528   0.5858433488   4.9758596585   
0.0000000530   0.5741264818   4.9763424510   
0.0000000532   0.5626439522   4.9768155915   
0.0000000534   0.5513910732   4.9772792720   
0.0000000536   0.5403632517   4.9777336809   
0.0000000538   0.5295559867   4.9781790031   
0.0000000540   0.5189648669   4.9786154199   
0.0000000542   0.5085855696   4.9790431091   
0.0000000544   0.4984138582   4.9794622451   
0.0000000546   0.4884455810   4.9798729989   
0.0000000548   0.4786766694   4.9802755378   
0.0000000550   0.4691031360   4.9806700263   
0.0000000552   0.4597210733   4.9810566251   
0.0000000554   0.4505266518   4.9814354922   
0.0000000556   0.4415161188   4.9818067819   
0.0000000558   0.4326857964   4.9821706460   
0.0000000560   0.4240320805   4.9825272329   
0.0000000562   0.4155514389   4.9828766880   
0.0000000564   0.4072404101   4.9832191541   
0.0000000566   0.3990956019   4.9835547709   
