
Forward Euler Method: 
time:     V1:        V2:     
--------------------------------------
0.0000000000   0.0000000000   0.0000000000   
0.0000000010   0.0000000000   0.5000000000   
0.0000000020   0.1000000000   0.9500000000   
0.0000000030   0.1900000000   1.3550000000   
0.0000000040   0.2710000000   1.7195000000   
0.0000000050   0.3439000000   2.0475500000   
0.0000000060   0.4095100000   2.3427949999   
0.0000000070   0.4685590000   2.6085154993   
0.0000000080   0.5217031000   2.8476639463   
0.0000000090   0.5695327900   3.0628975389   
0.0000000100   0.6125795110   3.2566077388   
0.0000000110   0.6513215599   3.4309468182   
0.0000000120   0.5861894039   3.5878517213   
0.0000000130   0.5275704635   3.7290664769   
0.0000000140   0.4748134172   3.8561598143   
0.0000000150   0.4273320755   3.9705438293   
0.0000000160   0.3845988679   4.0734894453   
0.0000000170   0.3461389811   4.1661405005   
0.0000000180   0.3115250830   4.2495264503   
0.0000000190   0.2803725747   4.3245738052   
0.0000000200   0.2523353172   4.3921164247   
0.0000000210   0.2271017855   4.4529047822   
0.0000000220   0.3043916070   4.5076143040   
0.0000000230   0.3739524463   4.5568528736   
0.0000000240   0.4365572016   4.6011675860   
0.0000000250   0.4929014815   4.6410508261   
0.0000000260   0.5436113333   4.6769457376   
0.0000000270   0.5892502000   4.7092511408   
0.0000000280   0.6303251800   4.7383259483   
0.0000000290   0.6672926620   4.7644931171   
0.0000000300   0.7005633958   4.7880431688   
0.0000000310   0.7305070562   4.8092373026   
0.0000000320   0.6574563506   4.8283101329   
0.0000000330   0.5917107155   4.8454786304   
0.0000000340   0.5325396440   4.8609306836   
0.0000000350   0.4792856796   4.8748375981   
0.0000000360   0.4313571116   4.8873538342   
0.0000000370   0.3882214005   4.8986184497   
0.0000000380   0.3493992604   4.9087566044   
0.0000000390   0.3144593344   4.9178809438   
0.0000000400   0.2830134009   4.9260928494   
0.0000000410   0.2547120608   4.9334835644   
0.0000000420   0.3292408548   4.9401352080   
0.0000000430   0.3963167693   4.9461216871   
0.0000000440   0.4566850924   4.9515095180   
0.0000000450   0.5110165831   4.9563585639   
0.0000000460   0.5599149248   4.9607226980   
0.0000000470   0.6039234323   4.9646503925   
0.0000000480   0.6435310891   4.9681852369   
0.0000000490   0.6791779802   4.9713663764   
0.0000000500   0.7112601822   4.9742288638   
0.0000000510   0.7401341639   4.9768039166   
0.0000000520   0.6661207476   4.9791190838   
0.0000000530   0.5995086728   4.9812065584   
0.0000000540   0.5395578055   4.9830857993   
0.0000000550   0.4856020250   4.9847771987   
0.0000000560   0.4370418225   4.9862994740   
0.0000000570   0.3933376402   4.9876695253   
0.0000000580   0.3540038762   4.9889025724   
0.0000000590   0.3186034886   4.9900123150   
0.0000000600   0.2867431397   4.9910110834   
0.0000000610   0.2580688258   4.9919099751   
0.0000000620   0.3322619432   4.9927189776   
0.0000000630   0.3990357489   4.9934470797   
0.0000000640   0.4591321740   4.9941023713   
0.0000000650   0.5132189566   4.9946921318   
0.0000000660   0.5618970609   4.9952229085   
0.0000000670   0.6057073548   4.9957005800   
0.0000000680   0.6451366193   4.9961304000   
0.0000000690   0.6806229574   4.9965170083   
0.0000000700   0.7125606617   4.9968643981   
0.0000000710   0.7413045955   4.9971758248   
0.0000000720   0.6671741360   4.9974536611   
0.0000000730   0.6004567224   4.9977076604   
0.0000000740   0.5404110501   4.9979367883   
0.0000000750   0.4863699451   4.9981430884   
0.0000000760   0.4377329506   4.9983287746   
0.0000000770   0.3939596555   4.9984958958   
0.0000000780   0.3545636900   4.9986463058   
0.0000000790   0.3191073210   4.9987816751   
0.0000000800   0.2871965889   4.9989035075   
0.0000000810   0.2584769300   4.9990131568   
0.0000000820   0.3326292370   4.9991118411   
0.0000000830   0.3993663133   4.9992006569   
0.0000000840   0.4594296820   4.9992805907   
0.0000000850   0.5134867138   4.9993525293   
0.0000000860   0.5621380424   4.9994172661   
0.0000000870   0.6059242382   4.9994755017   
0.0000000880   0.6453318143   4.9995278287   
0.0000000890   0.6807986329   4.9995746924   
0.0000000900   0.7127187696   4.9996163094   
0.0000000910   0.7414468927   4.9996525360   
0.0000000920   0.6673022034   4.9996826838   
0.0000000930   0.6005719830   4.9997137787   
0.0000000940   0.5405147847   4.9997422945   
0.0000000950   0.4864633063   4.9997680439   
0.0000000960   0.4378169756   4.9997912346   
0.0000000970   0.3940352781   4.9998121098   
0.0000000980   0.3546317503   4.9998308984   
0.0000000990   0.3191685752   4.9998478084   
0.0000001000   0.2872517177   4.9998630275   

